original_index,agentRate,wizardSuccess,intent,absent_n,composite,text,ville_depart,ville_destination,date_depart,date_retour,budget
0,4.0,True,book,1,a_definir_apres_selection,"I'd like to book a trip to Atlantis from Caprica on Saturday, August 13, 2016 for 8 adults. I have a tight budget of 1700.",Caprica,Atlantis,"Saturday, August 13, 2016",,1700
7,3.0,True,book,2,a_definir_apres_selection,"Hello, I am looking to book a vacation from Gotham City to Mos Eisley for $2100.",Gotham City,Mos Eisley,,,2100
48,5.0,True,book,1,a_definir_apres_selection,"Hi I'd like to go to Caprica from Busan, between Sunday August 21, 2016 and Wednesday August 31, 2016",Busan,Caprica,"Sunday August 21, 2016","Wednesday August 31, 2016",
61,5.0,True,book,2,a_definir_apres_selection,"Hello, I am looking to book a trip for 2 adults and 6 children for $21,300 or less. We are departing from Kochi for Denver.",Kochi,Denver,,,"$21,300"
70,3.0,True,book,3,a_definir_apres_selection,"Hey, i Want to go to St. Louis on the 17th of August",,St. Louis,17th of August,,
126,2.0,True,book,1,a_definir_apres_selection,"I'd like to get away from Monday, August 15, 2016 to Wednesday, August 31, 2016. My budget is $3200 and I would leave from Detroit.",Detroit,,"Monday, August 15, 2016","Wednesday, August 31, 2016",$3200
137,5.0,True,book,2,a_definir_apres_selection,"Good day, please book me a trip from Vancouver, Jamaica to Recife. I would like to leave for 17 days on August 24.","Vancouver, Jamaica",Recife,August 24,,
155,5.0,True,book,5,a_definir_apres_selection,"Ok, I'm ready to buy this package",,,,,
162,5.0,True,book,4,a_definir_apres_selection,Hi im looking for a nice destination that i could go to from Columbus,Columbus,,,,
184,5.0,True,book,2,a_definir_apres_selection,"Hi, I'm leaving from Diagon Alley and going to Coruscant on a budget of $3400. The dates don't matter, but I cannot afford anything over my budget.",Diagon Alley,Coruscant,,,$3400
195,3.0,True,book,4,a_definir_apres_selection,"Hi there, im from Vitoria and I want to go on vacation",Vitoria,,,,
205,3.0,True,book,5,a_definir_apres_selection,let’s book it please,,,,,
208,4.0,True,book,4,a_definir_apres_selection,"Hi, me and my family want to take a trip to Kakariko Village.",,Kakariko Village,,,
222,4.0,True,book,5,a_definir_apres_selection,"Yes, I'll take it. Thank you",,,,,
223,5.0,True,book,2,a_definir_apres_selection,"Hi, I'm looking for a trip  from Thursday, August 18, 2016 to Thursday, September 8, 2016 to Mexico City",,Mexico City,"Thursday, August 18, 2016","Thursday, September 8, 2016",
236,1.0,True,book,3,a_definir_apres_selection,Hi im from Caprica looking to book a vacation to Hyrule,Caprica,Hyrule,,,
249,5.0,True,book,1,a_definir_apres_selection,"Hey man, imma leave from Godric's Hollow on August 27, 2016 and go to Goiania. Can't pay more than 4300USD. Watcha got?",Godric's Hollow,Goiania,"August 27, 2016",,4300USD
261,1.0,True,book,4,a_definir_apres_selection,HI im from Alexandria looking to book a 12 day vacation,Alexandria,,,,
264,5.0,True,book,3,a_definir_apres_selection,Hi im from termina can we find a vacation that starts on the 13th?,termina,,the 13th,,
275,5.0,True,book,1,a_definir_apres_selection,"Hi. I'm looking for an adventure from Thursday, August 18 to Saturday, September 3. I'm thinking of going to Fortaleza. Yes, with free breakfast of course. I'm leaving from Essen.",Essen,Fortaleza,"Thursday, August 18","Saturday, September 3",
